Tempo,Angulo
0.0,0.33
0.012,0.33
0.02,0.34
0.031,0.34
0.041,0.35
0.05,0.37
0.061,0.38
0.07,0.4
0.085,0.42
0.093,0.44
0.105,0.47
0.113,0.5
0.123,0.53
0.133,0.56
0.143,0.6
0.153,0.63
0.168,0.67
0.176,0.72
0.185,0.76
0.195,0.81
0.207,0.87
0.215,0.92
0.225,0.97
0.235,1.04
0.25,1.1
0.258,1.16
0.268,1.24
0.3,1.31
0.303,1.38
0.306,1.46
0.308,1.54
0.322,1.62
0.329,1.71
0.339,1.8
0.349,1.89
0.372,1.99
0.389,2.09
0.394,2.19
0.396,2.29
0.401,2.41
0.413,2.51
0.423,2.62
0.432,2.73
0.443,2.86
0.453,2.98
0.464,3.1
0.473,3.24
0.483,3.36
0.497,3.49
0.505,3.64
0.533,3.77
0.54,3.91
0.556,4.06
0.572,4.2
0.59,4.35
0.593,4.49
0.597,4.66
0.6,4.81
0.602,4.96
0.608,5.14
0.62,5.3
0.627,5.46
0.637,5.64
0.647,5.81
0.662,5.98
0.67,6.17
0.68,6.34
0.689,6.52
0.7,6.72
0.709,6.9
0.723,7.08
0.743,7.27
0.748,7.47
0.75,7.67
0.76,7.86
0.77,8.07
0.78,8.27
0.795,8.47
0.803,8.69
0.813,8.9
0.822,9.1
0.836,9.33
0.844,9.55
0.854,9.76
0.864,9.97
0.875,10.21
0.885,10.44
0.896,10.66
0.904,10.9
0.92,11.13
0.926,11.36
0.937,11.61
0.947,11.85
0.957,12.11
0.967,12.34
0.977,12.58
0.993,12.85
1.0,13.09
1.01,13.34
1.021,13.61
1.032,13.86
1.04,14.12
1.05,14.4
1.074,14.65
1.104,14.91
1.107,15.2
1.11,15.46
1.113,15.73
1.115,16.02
1.124,16.29
1.137,16.56
1.144,16.86
1.154,17.13
1.164,17.4
1.184,17.71
1.201,17.99
1.219,18.27
1.22,18.58
1.223,18.86
1.226,19.15
1.237,19.46
1.247,19.75
1.258,20.04
1.267,20.37
1.278,20.66
1.293,20.96
1.3,21.29
1.31,21.59
1.32,21.89
1.33,22.23
1.343,22.54
1.349,22.88
1.365,23.19
1.373,23.5
1.382,23.85
1.394,24.16
1.402,24.48
1.412,24.83
1.422,25.15
1.437,25.47
1.444,25.83
1.458,26.15
1.465,26.48
1.475,26.83
1.485,27.16
1.495,27.49
1.505,27.86
1.52,28.19
1.528,28.52
1.537,28.89
1.549,29.23
1.557,29.57
1.589,29.94
1.597,30.28
1.597,30.63
1.601,31.0
1.61,31.35
1.619,31.7
1.629,32.08
1.639,32.44
1.662,32.82
1.665,33.18
1.672,33.53
1.688,33.92
1.692,34.28
1.714,34.64
1.717,35.04
1.724,35.4
1.74,35.76
1.744,36.16
1.774,36.52
1.778,36.89
1.781,37.29
1.784,37.66
1.802,38.03
1.805,38.44
1.829,38.82
1.832,39.19
1.838,39.61
1.898,39.99
1.941,40.36
1.947,40.78
1.948,41.17
1.949,41.55
1.951,41.98
1.953,42.36
1.965,42.75
1.968,43.18
1.971,43.57
1.973,43.97
1.976,44.4
1.979,44.79
1.983,45.19
1.994,45.62
2.0,46.02
2.015,46.42
2.023,46.86
2.033,47.26
2.043,47.66
2.054,48.1
2.063,48.51
2.074,48.91
2.084,49.36
2.094,49.77
2.104,50.18
2.115,50.63
2.13,51.04
2.137,51.46
2.149,51.91
2.157,52.33
2.171,52.74
2.179,53.2
2.188,53.62
2.199,54.08
2.208,54.5
2.218,54.91
2.228,55.38
2.243,55.8
2.251,56.22
2.261,56.69
2.273,57.11
2.282,57.54
2.291,58.01
2.301,58.44
2.316,58.87
2.323,59.35
2.333,59.79
2.344,60.22
2.353,60.7
2.365,61.13
2.378,61.57
2.385,62.04
2.396,62.48
2.405,62.91
2.414,63.39
2.431,63.83
2.437,64.27
2.447,64.75
2.456,65.19
2.466,65.68
2.485,66.12
2.503,66.57
2.505,67.06
2.508,67.5
2.519,67.95
2.53,68.44
2.54,68.89
2.56,69.34
2.577,69.83
2.594,70.27
2.598,70.72
2.599,71.21
2.602,71.66
2.613,72.11
2.622,72.6
2.633,73.05
2.647,73.5
2.653,74.0
2.664,74.45
2.673,74.91
2.687,75.41
2.695,75.87
2.707,76.32
2.717,76.82
2.726,77.28
2.736,77.73
2.746,78.23
2.756,78.68
2.771,79.14
2.779,79.63
2.791,80.09
2.799,80.54
2.809,81.04
2.818,81.5
2.828,81.96
2.858,82.46
2.862,82.92
2.866,83.42
2.87,83.88
2.881,84.34
2.898,84.85
2.904,85.31
2.914,85.76
2.923,86.27
2.934,86.73
2.944,87.18
2.953,87.68
2.964,88.14
2.973,88.6
2.989,89.1
2.995,89.56
3.009,90.01
3.016,90.52
3.026,90.98
3.036,91.49
3.046,91.95
3.061,92.41
3.069,92.92
3.079,93.39
3.089,93.85
3.101,94.35
3.109,94.81
3.118,95.27
3.133,95.77
3.14,96.22
3.151,96.68
3.161,97.18
3.171,97.64
3.181,98.1
3.191,98.61
3.214,99.07
3.22,99.54
3.222,100.05
3.257,100.52
3.273,100.99
3.274,101.5
3.278,101.95
3.28,102.41
3.286,102.91
3.297,103.36
3.308,103.86
3.316,104.31
3.326,104.78
3.336,105.29
3.351,105.76
3.358,106.27
3.368,106.74
3.38,107.21
3.389,107.72
3.399,108.18
3.412,108.64
3.421,109.14
3.431,109.59
3.441,110.09
3.452,110.55
3.461,111.01
3.471,111.52
3.481,111.98
3.501,112.45
3.505,112.97
3.515,113.43
3.528,113.94
3.535,114.4
3.553,114.86
3.557,115.36
3.567,115.82
3.58,116.28
3.587,116.79
3.606,117.25
3.61,117.76
3.617,118.22
3.632,118.68
3.64,119.19
3.658,119.65
3.663,120.16
3.668,120.62
3.685,121.08
3.689,121.59
3.712,122.05
3.715,122.52
3.721,123.03
3.737,123.5
3.741,124.0
3.764,124.46
3.768,124.92
3.774,125.42
3.789,125.88
3.796,126.34
3.818,126.85
3.821,127.32
3.826,127.84
3.837,128.31
3.845,128.77
3.855,129.28
3.879,129.74
3.91,130.2
3.913,130.7
3.917,131.16
3.92,131.62
3.921,132.13
3.932,132.6
3.94,133.11
3.95,133.58
3.96,134.05
3.969,134.56
3.983,135.03
3.99,135.53
4.005,136.0
4.013,136.46
4.023,136.97
4.035,137.43
4.042,137.9
4.052,138.42
4.068,138.89
4.1,139.4
4.117,139.87
4.121,140.34
4.123,140.85
4.145,141.31
4.148,141.78
4.151,142.29
4.154,142.76
4.156,143.27
4.167,143.74
4.177,144.21
4.187,144.73
4.197,145.2
4.212,145.67
4.22,146.19
4.23,146.66
4.242,147.18
4.25,147.65
4.26,148.12
4.27,148.63
4.285,149.1
4.292,149.57
4.302,150.09
4.313,150.56
4.323,151.08
4.332,151.56
4.346,152.04
4.353,152.56
4.367,153.04
4.373,153.52
4.39,154.04
4.396,154.52
4.406,154.99
4.417,155.52
4.426,156.0
4.436,156.53
4.448,157.01
4.459,157.49
4.469,158.02
4.479,158.5
4.488,159.02
4.498,159.51
4.508,159.99
4.524,160.52
4.534,161.01
4.549,161.55
4.564,162.05
4.582,162.54
4.598,163.07
4.601,163.56
4.603,164.05
4.605,164.59
4.614,165.08
4.624,165.58
4.634,166.12
4.644,166.62
4.655,167.16
4.665,167.66
4.675,168.15
4.685,168.69
4.7,169.19
4.707,169.74
4.718,170.25
4.727,170.75
4.737,171.31
4.747,171.81
4.76,172.32
4.77,172.88
4.78,173.39
4.79,173.95
4.8,174.46
4.809,174.97
4.82,175.53
4.835,176.04
4.842,176.55
4.852,177.12
4.865,177.63
4.873,178.2
4.884,178.73
4.892,179.25
4.908,179.83
4.916,180.36
4.925,180.89
4.936,181.47
4.949,181.99
4.956,182.53
4.966,183.11
4.976,183.65
4.986,184.24
4.997,184.77
5.479,185.3
5.481,185.89
5.49,186.43
5.492,187.03
5.507,187.57
5.51,188.12
5.512,188.72
5.515,189.27
5.518,189.82
5.52,190.43
5.534,190.98
5.536,191.54
5.538,192.16
5.541,192.72
5.543,193.28
5.545,193.9
5.546,194.46
5.546,195.02
5.546,195.64
5.546,196.21
5.561,217.09
5.564,217.73
5.566,218.45
5.569,219.1
5.571,219.81
5.587,220.46
5.591,221.11
5.6,221.84
5.614,222.51
5.621,223.18
5.633,223.92
5.643,224.59
5.653,225.34
5.664,226.01
5.673,226.7
5.684,227.45
5.693,228.14
5.703,228.84
5.719,229.6
5.725,230.29
5.734,231.06
5.745,231.76
5.759,232.46
5.766,233.23
5.777,233.95
5.786,234.67
5.797,235.46
5.807,236.18
5.821,236.97
5.829,237.71
5.838,238.44
5.852,239.25
5.871,239.99
5.887,240.74
5.903,241.56
5.921,242.3
5.922,243.13
5.925,243.88
5.926,244.63
5.933,245.47
5.941,246.23
5.956,247.07
5.964,247.84
5.974,248.62
5.984,249.47
5.994,250.26
6.004,251.12
6.014,251.91
6.03,252.7
6.037,253.58
6.05,254.38
6.057,255.18
6.067,256.07
6.078,256.88
6.088,257.77
6.099,258.59
6.108,259.41
6.123,260.31
6.131,261.14
6.141,261.97
6.153,262.89
6.161,263.73
6.171,264.65
6.181,265.5
6.196,266.35
6.204,267.29
6.213,268.15
6.223,269.01
6.233,269.97
6.243,270.84
6.256,271.8
6.266,272.68
6.276,273.56
6.286,274.53
6.296,275.42
6.306,276.31
6.316,277.3
6.326,278.2
6.341,279.2
6.348,280.1
6.361,281.02
6.368,282.02
6.382,282.95
6.388,283.87
6.403,284.89
6.411,285.83
6.421,286.86
6.431,287.8
6.441,288.74
6.451,289.78
6.463,290.74
6.473,291.7
6.483,292.75
6.493,293.71
6.503,294.77
6.514,295.75
6.523,296.72
6.533,297.8
6.549,298.79
6.556,299.77
6.569,300.86
6.576,301.85
6.586,302.95
6.596,303.96
6.611,304.97
6.618,306.08
6.628,307.09
6.639,308.1
6.65,309.23
6.66,310.25
6.673,311.39
6.708,312.42
6.712,313.45
6.714,314.59
6.717,315.64
6.721,316.69
6.731,317.84
6.742,318.9
6.756,320.06
6.763,321.12
6.776,322.18
6.783,323.36
6.793,324.43
6.803,325.51
6.82,326.69
6.826,327.77
6.836,328.97
6.846,330.06
6.856,331.16
6.866,332.36
6.879,333.46
6.888,334.67
6.899,335.77
6.908,336.88
6.918,338.11
6.928,339.22
6.94,340.34
6.95,341.57
6.96,342.69
6.97,343.82
6.984,345.07
6.991,346.2
7.001,347.45
7.011,348.59
7.026,349.74
7.033,351.0
7.043,352.15
7.053,353.3
7.065,354.57
7.073,355.72
7.087,356.99
7.096,358.15
7.106,359.31
7.118,0.59
7.126,1.76
7.136,2.93
7.146,4.21
7.156,5.39
7.173,6.57
7.229,7.87
7.254,9.05
7.275,10.23
7.275,11.53
7.277,12.71
7.279,13.9
7.281,15.21
7.284,16.4
7.298,17.59
7.301,18.9
7.404,20.1
7.436,21.29
7.436,22.61
7.436,23.81
7.439,25.01
7.443,26.33
7.444,27.54
7.457,28.75
7.467,30.07
7.467,31.28
7.467,32.49
7.468,33.82
7.468,35.03
7.468,36.25
7.468,37.46
7.468,38.79
7.471,40.13
7.483,41.34
7.484,42.56
7.49,43.9
7.49,45.12
7.499,46.34
7.509,47.68
7.519,48.9
7.529,50.13
7.541,51.47
7.549,52.7
7.56,53.92
7.569,55.27
7.584,56.49
7.592,57.72
7.601,59.07
7.611,60.29
7.623,61.51
7.632,62.86
7.642,64.09
7.656,65.31
7.663,66.66
7.673,67.88
7.683,69.23
7.698,70.46
7.706,71.69
7.717,73.04
7.724,74.26
7.74,75.49
7.747,76.84
7.757,78.07
7.767,79.3
7.777,80.64
7.787,81.87
7.797,83.09
7.812,84.44
7.819,85.66
7.829,86.88
7.84,88.23
7.853,89.45
7.861,90.67
7.871,92.02
7.881,93.24
7.89,94.46
7.901,95.8
7.91,97.02
7.926,98.25
7.935,99.59
7.943,100.81
7.957,102.02
7.985,103.36
7.988,104.58
7.991,105.92
7.994,107.13
8.004,108.35
8.014,109.68
8.029,110.9
8.037,112.23
8.047,113.45
8.062,114.66
8.069,115.99
8.079,117.2
8.087,118.41
8.102,119.74
8.11,120.95
8.12,122.28
8.129,123.49
8.14,124.69
8.149,126.02
8.164,127.23
8.172,128.43
8.182,129.76
8.192,130.96
8.202,132.29
8.212,133.49
8.222,134.69
8.237,136.01
8.244,137.21
8.255,138.42
8.269,139.74
8.276,140.93
8.286,142.25
8.296,143.45
8.306,144.65
8.317,145.97
8.326,147.17
8.341,148.48
8.348,149.68
8.358,150.88
8.373,152.2
8.381,153.39
8.39,154.59
8.399,155.9
8.409,157.1
8.42,158.42
8.429,159.62
8.445,160.81
8.453,162.13
8.462,163.33
8.475,164.52
8.485,165.84
8.493,167.03
8.503,168.35
8.513,169.55
8.523,170.75
8.547,172.07
8.58,173.27
8.595,174.47
8.597,175.79
8.6,176.99
8.603,178.19
8.606,179.51
8.608,180.72
8.618,182.04
8.628,183.25
8.641,184.46
8.648,185.78
8.658,186.98
8.668,188.32
8.688,189.53
8.691,190.74
8.708,192.07
8.711,193.28
8.721,194.5
8.731,195.84
8.741,197.05
8.752,198.38
8.762,199.6
8.772,200.83
8.786,202.17
8.793,203.4
8.803,204.62
8.819,205.97
8.825,207.2
8.836,208.55
8.846,209.79
8.856,211.01
8.866,212.37
8.876,213.61
8.891,214.98
8.897,216.22
8.907,217.46
8.922,218.82
8.929,220.08
8.94,221.33
8.949,222.7
8.96,223.95
8.969,225.33
8.98,226.59
8.991,227.85
9.001,229.24
9.011,230.5
9.045,231.77
9.048,233.17
9.051,234.44
9.053,235.84
9.072,237.11
9.076,238.39
9.085,239.81
9.099,241.09
9.105,242.51
9.125,243.8
9.128,245.09
9.137,246.52
9.152,247.82
9.158,249.12
9.177,250.55
9.18,251.87
9.19,253.31
9.204,254.62
9.209,255.94
9.229,257.4
9.233,258.73
9.24,260.05
9.276,261.52
9.332,262.85
9.335,264.33
9.337,265.67
9.34,267.02
9.343,268.5
9.344,269.85
9.359,271.21
9.362,272.71
9.364,274.07
9.366,275.44
9.368,276.95
9.383,278.32
9.387,279.84
9.396,281.22
9.41,282.6
9.421,284.13
9.427,285.52
9.437,287.06
9.447,288.46
9.457,289.86
9.472,291.41
9.48,292.82
9.49,294.37
9.5,295.79
9.509,297.21
9.524,298.78
9.531,300.2
9.541,301.63
9.551,303.21
9.561,304.65
9.576,306.23
9.584,307.68
9.595,309.12
9.604,310.72
9.615,312.18
9.624,313.64
9.638,315.24
9.646,316.71
9.656,318.33
9.666,319.8
9.676,321.27
9.691,322.89
9.696,324.38
9.712,326.01
9.718,327.5
9.727,328.99
9.742,330.63
9.75,332.13
9.76,333.64
9.77,335.29
9.78,336.79
9.79,338.45
9.8,339.97
9.815,341.49
9.822,343.16
9.831,344.67
9.846,346.35
9.882,347.88
9.898,349.41
9.9,351.09
9.904,352.62
9.906,354.16
9.909,355.85
9.915,357.39
9.928,358.92
9.936,0.63
9.946,2.18
9.956,3.73
9.966,5.43
9.976,6.98
9.992,8.54
9.998,10.26
10.008,11.81
10.018,13.37
10.032,15.09
10.04,16.65
10.049,18.21
10.059,19.93
10.069,21.5
10.079,23.07
10.09,24.8
10.104,26.36
10.112,27.93
10.122,29.66
10.136,31.24
10.143,32.82
10.153,34.55
10.163,36.12
10.174,37.86
10.183,39.44
10.193,41.02
10.204,42.76
10.218,44.34
10.226,45.92
10.234,47.66
10.244,49.24
10.26,50.82
